epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_loss
1,0.9358458961474037,0.9359919571045576,0.935678391959799,0.9358351482660412,0.9832971670187902,0.1752940698621426,0.94453125,0.9141193595342066,0.98125,0.9464958553127355,0.9927880859375,0.14300632020458579
2,0.9658291457286432,0.9683395082519367,0.9631490787269682,0.9657373194491098,0.9930302545670845,0.10330907875462808,0.97578125,0.9795275590551181,0.971875,0.9756862745098039,0.9964990234375,0.07541695414111019
3,0.9733668341708542,0.9747983870967742,0.9718592964824121,0.9733266230498239,0.9967400374289088,0.07206905768676238,0.9703125,0.990228013029316,0.95,0.9696969696969697,0.9969116210937499,0.08092768213246018
4,0.9775544388609715,0.9788377561303325,0.976214405360134,0.9775243206977524,0.9976208232676503,0.061902056930008977,0.97109375,0.9855072463768116,0.95625,0.9706582077716098,0.9973217773437499,0.07288071298389695
5,0.9782244556113903,0.9785450888367415,0.9778894472361809,0.9782171581769437,0.9971155610548555,0.06466748157296986,0.9796875,0.9857594936708861,0.9734375,0.9795597484276729,0.9969775390625,0.06422883755876682
6,0.983249581239531,0.9835735836406302,0.9829145728643216,0.9832439678284183,0.998438535502751,0.04971297998180523,0.98125,0.9827586206896551,0.9796875,0.9812206572769953,0.99760986328125,0.055544848158024254
7,0.9847571189279732,0.9852448021462106,0.9842546063651592,0.9847494553376906,0.998862430522237,0.04111379203336801,0.98359375,0.9874015748031496,0.9796875,0.9835294117647059,0.997294921875,0.05769731253967621
8,0.9842546063651592,0.9858823529411764,0.9825795644891122,0.9842281879194631,0.9986505391277999,0.04392853276156646,0.9796875,0.9888535031847133,0.9703125,0.9794952681388013,0.99780029296875,0.05723214270838071
